rowid,pl_hostname,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_bmassj,st_dist,st_teff,st_mass
1,11 Com,Radial Velocity,1,326.03,1.29,19.4,110.62,4742,2.7
2,11 UMi,Radial Velocity,1,516.22,1.54,10.5,119.47,4340,1.8
3,14 And,Radial Velocity,1,185.84,0.83,4.8,76.39,4813,2.2
4,14 Her,Radial Velocity,1,1773.4,2.77,4.64,18.15,5311,0.9
5,16 Cyg B,Radial Velocity,1,798.5,1.681,1.68,21.41,5674,0.99
6,18 Del,Radial Velocity,1,993.3,2.6,10.3,73.1,4979,2.3
7,1RXS J160929.1-210524,Imaging,1,,330,8,145,4060,0.85
8,24 Sex,Radial Velocity,2,452.8,1.333,1.99,74.79,5098,1.54
9,24 Sex,Radial Velocity,2,883,2.08,0.86,74.79,5098,1.54
10,2MASS J01225093-2439505,Imaging,1,,52,24.5,36,3530,0.4
11,2MASS J02192210-3925225,Imaging,1,,156,13.9,39.4,3064,0.11
12,2MASS J04414489+2301513,Imaging,1,,15,7.5,140,,0.02
13,2MASS J12073346-3932539,Imaging,1,,46,4,52.4,,0.02
14,2MASS J19383260+4603591,Eclipse Timing Variations,1,416,0.92,1.9,,,0.48
15,2MASS J21402931+1625183 A,Imaging,1,7336.5,,20.95,25,2300,0.08
16,2MASS J22362452+4751425,Imaging,1,,230,12.5,74,4045,0.6
17,30 Ari B,Radial Velocity,1,335.1,0.995,9.88,39.43,6300,1.16
18,4 UMa,Radial Velocity,1,269.3,0.87,7.1,77.4,4415,1.23
19,42 Dra,Radial Velocity,1,479.1,1.19,3.88,97.28,4200,0.98
20,47 UMa,Radial Velocity,3,1078,2.1,2.53,14.08,5892,1.03
21,47 UMa,Radial Velocity,3,2391,3.6,0.54,14.08,5892,1.03
22,47 UMa,Radial Velocity,3,14002,11.6,1.64,14.08,5892,1.03
23,51 Eri,Imaging,1,,13.2,2,29.4,,1.75
24,51 Peg,Radial Velocity,1,4.230785,0.0527,0.472,15.36,5793,1.12
25,55 Cnc,Radial Velocity,5,14.65152,0.115227,0.8306,12.53,5196,0.91
26,55 Cnc,Radial Velocity,5,44.4175,0.241376,0.1714,12.53,5196,0.91
27,55 Cnc,Radial Velocity,5,4825,5.503,3.878,12.53,5196,0.91
28,55 Cnc,Radial Velocity,5,0.736539,0.01544,0.02542,12.53,5196,0.91
29,55 Cnc,Radial Velocity,5,262,0.788,0.141,12.53,5196,0.91
